"","Tree","B_mean","G_mean","R_mean","RE_mean","NIR_mean","TIR_mean","B_median","G_median","R_median","RE_median","NIR_median","TIR_median","B_sd","G_sd","R_sd","RE_sd","NIR_sd","TIR_sd","B_min","G_min","R_min","RE_min","NIR_min","TIR_min","B_max","G_max","R_max","RE_max","NIR_max","TIR_max","date","image_name"
"37","Beech1",0.0159764119902892,0.0420813824331426,0.0162591315957965,0.135496025389555,0.47049393152704,27.6733020603413,0.015493047889322,0.0421048048883677,0.0157995307818055,0.136199317872524,0.468413859605789,27.7099990844727,0.00510586511270829,0.0112614581463474,0.00595673095082193,0.0349100218183101,0.0852115062560109,0.259133512947415,0.00328904530033469,0.00984710175544024,0.00278183096088469,0.0337589681148529,0.181054770946503,27.0699996948242,0.033087469637394,0.0819369032979012,0.0414987467229366,0.253967434167862,0.734890401363373,28.1599998474121,2024-08-06,"20240806_saillon_Ortho.tif"
"38","Beech2",0.0167925376525148,0.0525285849169263,0.0189689116137269,0.144835073725132,0.360642723412367,26.4530650067666,0.0170808266848326,0.0550458319485188,0.0190254766494036,0.153335601091385,0.384564518928528,26.3999996185303,0.00601437208716464,0.01970642186818,0.00761529828675672,0.0548063672225842,0.113035338261428,0.331794628550731,0.00203230232000351,0.00564849842339754,0.00186002277769148,0.0151147320866585,0.0576467365026474,25.8500003814697,0.0409395359456539,0.112509086728096,0.104118451476097,0.290958315134048,0.589216530323029,27.6399993896484,2024-08-06,"20240806_saillon_Ortho.tif"
"39","Oak1",0.0186730214157918,0.0434714709563802,0.0199702555317587,0.117494574485657,0.382192539401973,28.2834833725293,0.0183533830568194,0.0434750095009804,0.0194053277373314,0.117444090545177,0.391618177294731,28.2999992370605,0.00600298778220307,0.013718299198933,0.0075085470248273,0.0391203439310273,0.104286491685392,0.122672875471573,0.00568484468385577,0.0128816328942776,0.00472472561523318,0.0297998394817114,0.112031199038029,27.8600006103516,0.0366019643843174,0.0805921405553818,0.0440966859459877,0.21760992705822,0.628027617931366,28.5699996948242,2024-08-06,"20240806_saillon_Ortho.tif"
"40","Oak2",0.0179338679215513,0.0455394295642439,0.0185553688102832,0.12685163992672,0.377478342388685,28.8765538516411,0.0178468450903893,0.04494509100914,0.0181907154619694,0.124837227165699,0.375083148479462,28.9699993133545,0.00584580423932308,0.0143437505005325,0.00747591826732896,0.0399707787931843,0.092797868003032,0.301334401169493,0.00483452063053846,0.0136454124003649,0.00269715860486031,0.0396163389086723,0.154602885246277,27.7000007629395,0.0391354039311409,0.0843942910432816,0.079872652888298,0.237193256616592,0.598617911338806,29.1900005340576,2024-08-06,"20240806_saillon_Ortho.tif"
"41","Beech1",0.013625723260968,0.0368358693783152,0.0145818624085253,0.118942311211508,0.390039353832907,31.2998408095691,0.0140740261413157,0.0379450581967831,0.0150073892436922,0.122939605265856,0.399896681308746,31.2999992370605,0.00457892290059644,0.0118679772990655,0.00583271741158936,0.0377958704974826,0.0812682333847706,0.160964125940721,0.00245308130979538,0.00774500193074346,0.00169272301718593,0.0261094402521849,0.150421947240829,30.75,0.028240917250514,0.0668903142213821,0.0331156961619854,0.215651586651802,0.570896863937378,31.9099998474121,2024-08-13,"20240813_saillon_Ortho.tif"
"42","Beech2",0.0166277930361598,0.0519428828473318,0.0193175948288719,0.142803151879593,0.338703088752014,28.1159804062395,0.0176692884415388,0.0561425723135471,0.0203052675351501,0.156118281185627,0.370156720280647,28.2099990844727,0.00580201259695475,0.0190248951337105,0.0073632674415101,0.0533303131936931,0.106887031724394,0.374797133190559,0.00173664826434106,0.00408028019592166,0.00133694708347321,0.00993867591023445,0.0461065880954266,27.2900009155273,0.0316369086503983,0.095321998000145,0.0434860251843929,0.252593457698822,0.537478685379028,30.1699981689453,2024-08-13,"20240813_saillon_Ortho.tif"
"43","Oak1",0.0179497395980419,0.0427092693795507,0.0199915028595347,0.114411844865096,0.347645312800091,29.6639101659035,0.0186159452423453,0.0454923454672098,0.020830687135458,0.122613355517387,0.367224156856537,29.6950006484985,0.00577969208192583,0.0138010665653072,0.00726625569200063,0.0382265477855438,0.0977041354584538,0.258113913548168,0.0061515374109149,0.0139544894918799,0.00437197601422668,0.0324361957609653,0.116748325526714,29.0499992370605,0.0364787951111794,0.0751505866646767,0.0409225709736347,0.204981803894043,0.545078754425049,36.0099906921387,2024-08-13,"20240813_saillon_Ortho.tif"
"44","Oak2",0.0158626183327777,0.041446634355912,0.0172044852099,0.116412272958269,0.334362356199808,29.6226059316279,0.0167077025398612,0.0430591404438019,0.0177065897732973,0.122166492044926,0.349653363227844,29.6399993896484,0.0054976094649414,0.0140004955257184,0.00743361183437516,0.0402680821136404,0.0890988237794651,0.191431967176725,0.00333650945685804,0.00951332971453667,0.00284031103365123,0.0301825758069754,0.119532570242882,29.1000003814697,0.0355116464197636,0.073805145919323,0.0672529265284538,0.203369721770287,0.536722481250763,30.1800003051758,2024-08-13,"20240813_saillon_Ortho.tif"
"45","Beech1",0.00808170982885973,0.0217183641261789,0.00817510602702933,0.0668747177728464,0.22540038819013,26.635752561952,0.00653932243585587,0.0181406904011965,0.00635245046578348,0.0558136720210314,0.200383134186268,26.4500007629395,0.00551616039672046,0.0142823210088647,0.00628573091418946,0.0428451887381602,0.0942622284561611,0.585351979270959,0.00162892346270382,0.00487293396145105,0.0010011192644015,0.0148746911436319,0.0841114446520805,25.6599998474121,0.0313508175313473,0.0743870139122009,0.0326658673584461,0.195252254605293,0.502289831638336,28.2399997711182,2024-08-20,"20240820_saillon_Ortho.tif"
"46","Beech2",0.00818000205189622,0.0253472697195996,0.00869983397278702,0.0687321111104185,0.177767976213114,26.0683857073103,0.00619661132805049,0.0191798070445657,0.00571697019040585,0.0503352787345648,0.147912308573723,26.2199993133545,0.00541807890596721,0.0173622282300955,0.0071944865599504,0.048946974901519,0.0909812586241057,0.640036883329999,0.00104613101575524,0.00275935884565115,0.000985077931545675,0.00637818686664104,0.0289698764681816,23.8600025177002,0.026900852099061,0.0798041522502899,0.0368059724569321,0.225234016776085,0.462847828865051,27,2024-08-20,"20240820_saillon_Ortho.tif"
